Anyone can do that.	任何人都可以做到。
Man is the only animal that can talk.	人类是唯一能够彼此交谈的动物。
I enjoy taking pictures.	我喜欢拍照。
Isn't this what Tom asked for?	这不是汤姆要的吗？
He dropped in at the bookstore.	他顺道去了这家书店。
She married a rich man.	她嫁给了一个有钱人。
You must build up your courage.	你一定要鼓起勇气。
I can verify that that's the truth myself.	我自己能够证实那是真的。
Put your guns down.	放下你的枪。
I am going to see him today.	今天我要去看他。
The dog is dying.	这只狗快要死了。
I've always been smart.	我一直聪明。
Tell Tom I'll be there in a minute.	告诉Tom我将在一分钟内到达这里。
Do you plan to go abroad?	你打算出国吗？
Will you help me give out the programs to those people?	你能帮我给这些人分发节目单吗？
Some scientists believe that the greenhouse effect is imaginary.	有的科学家认为温室效应是虚构的。
His pictures were hung on the wall.	他的画被悬挂在墙上。
They changed the system.	他们改变了制度。
It isn't anything like as cold as it was yesterday.	今天没有像昨天那么冷。
There is a television in this room.	这个房间里有个电视机。
Three months is too short a time to finish the experiment.	要完成实验，三个月太短了。
You made me laugh.	我被你逗乐了。
This is really terrible.	这真可怕。
I have three cameras.	我有三台摄影机。
All that Jack does is sleep.	所有杰克做的事就是睡觉。
I was surprised.	我吃惊了。
What is the exchange rate today?	今天的汇率是多少？
They don't even know why.	他们甚至不知道为什么。
He's very good at playing baseball.	他垒球打得很好。
I didn't expect to see you at a place like this.	我都没想过会在这里碰见你。
We had a heavy frost this morning.	今天早上天气严寒。
May I have the check, please?	请把账单给我好吗？
The vase was shattered.	花瓶被打碎了。
I didn't do it alone.	我没有独自做。
It was before dawn that they got the fire under control.	他们在黎明前控制住了火势。
This is a very important meeting.	这是个很重要的会议。
I went to the park last Saturday.	上个星期六我去了公园。
That actually makes a lot of sense.	那个相当能说得通。
He has dozens of English books.	他有几十本的英文书籍。
Let's go!	我们开始吧！
We have a test tomorrow.	我们明天有个测验。
No student is allowed to enter the room.	学生不准进入这个房间。
We should stop seeing each other.	我们不该再对视了。
Please bring us two cups of coffee.	请给我们来两杯咖啡。
Do you subscribe to any magazines?	你有订阅任何杂志吗？
She cried her heart out.	她哭得肝肠寸断。
This river is safe to swim in.	在这条河里游泳很安全。
If I had one million yen now, I would buy a car.	如果我现在有100万日元，我会买辆车。
We're on strike because the company hasn't improved our wages.	我们罢工是因为公司没有改善我们的工资。
You can watch TV after supper.	晚餐之后你才可以看电视。
How often do the buses run?	公共汽车隔多久一班?
He is always laughing.	他总是在笑。
She married again in her mid-forties.	她在四十多岁的时候再次结婚。
I'd like three of these.	这我要三个。
I'm undressing.	我脱衣服。
I suppose you're hungry.	我猜想您饿了。
You must not jump to conclusions.	你不可以妄下结论。
I can't find my keys anywhere.	我到处都找不到我的钥匙。
I'll be back in ten minutes.	我10分钟后回来。
The old man got in her way.	这个老人挡了她的路。
We give a 10% discount for cash.	如用现金付款，我们给予九折优惠。
It was so still that you would have heard a pin drop.	安静到连针掉在地上的声音你都会听得到。
I'm about ready.	我快好了。
Is there any chance that he'll resign?	他有可能辞职吗?
Please accept my sincere apologies.	请接受我诚挚的歉意。
The old houses were torn down to make room for a supermarket.	这栋老房子被拆除了，以腾出空间给超级市场。
This is the end.	这是结束。
I believe you.	我信过你。
Maybe you'd better come with us.	也许你最好和我们一起来。
I took the children to school.	我带孩子们去上学。
Is this your car?	这是你的车吗?
The train is very crowded this evening.	列车在晚上很挤。
How tall are you?	你多高？
Is this really real?	这真是真的吗？
Would you lend me your pencil?	你可以借我你的铅笔吗?
I bathe once a day.	我每天洗一次澡。
I plan to buy him a pen.	我打算给他买一支钢笔。
I'm fine.	我很好。
He is still sitting on the bench.	他还坐在长椅上。
How did you get to know each other?	你们怎么互相认识的？
I'm free today.	我今天有空。
My father bought me a bicycle.	我父亲给我买了一辆自行车。
Were you right?	你是对的吗？
Where do you want to go today?	你今天想去哪儿呀？
That program is now being broadcast.	那个节目现在正在播出。
I buy tapes.	我买磁带。
I have a headache.	我头痛。
You are too ready to speak ill of others.	你太喜欢说他人坏话了。
I usually get up at 6:00.	我通常在六点钟起床。
I can't put up with it.	我无法忍受它了。
All of the students were present.	所有学生都出席了。
I wondered if her story was true.	我想知道她的故事是否是真的。
Do you cook by gas or electricity?	你煮饭用瓦斯还是电？
That feels good.	感觉良好。
I don't speak Japanese.	我不说日语。
Did you go to the art exhibition?	你去看艺术展览了吗？
I introduced Mary to my parents.	我把玛丽介绍给我的父母了。
Your answer is wrong.	你的回答是错的。
Where does your grandfather live?	你爷爷住在哪里？
This isn't the type that I like.	这不是我喜欢的类型。
Why don't you talk to him?	你为甚么不跟他讲？
Tom wanted to know if Mary had a boyfriend.	汤姆想知道玛丽是否有男朋友？
Mathematics is an easy subject for me.	数学对我来说是一个容易的科目。
Waiter, please bring me some water.	服务生，请给我一些水。
My cholesterol is high.	我的胆固醇很高。
He runs a supermarket in the town.	他在这个镇上经营一家超级市场。
He told me his life's story.	他跟我讲了他的人生故事。
The children are playing with toys.	小孩们在玩玩具。
I like taking walks in the woods.	我喜欢在树林里散步。
I prefer milk to juice.	比起果汁，我比较喜欢牛奶。
I work for a shipping company.	我为一家船运公司工作。
Do you like any of these pictures?	你喜欢这些画里的任何一幅吗?
We are looking forward to seeing you and your family.	我们很期待见到您和您的家人。
It's OK.	没关系。
He'll never beat me.	他永远不会打败我的。
I think you went too far.	我觉得您过火了。
He put on clean trousers.	他穿上了干净的裤子。
I would rather you stayed at home.	我宁愿你待在家里。
The bus will take time.	乘公交车费时。
If it had not been for your help, I couldn't have completed the work.	如果不是因为有你的帮助，我不可能完成了这个工作。
I like English very much.	我非常喜欢英语。
He sometimes comes to see me.	他有时会来看我。
The flash wasn't working, so he couldn't take a picture in the dark.	因为闪光灯坏了，他不能在黑暗中拍照。
I consider you one of my closest friends.	我把你视为我最要好的朋友之一。
